mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.236,0.866,1.431,0.253,0.453,0.044,2.181,4.552,0.0
0.322,0.85,1.093,0.159,0.366,0.08,1.699,4.246,0.0
0.324,0.862,0.417,0.159,0.351,0.074,1.0,4.222,0.0
0.324,0.86,0.272,0.149,0.345,0.071,0.837,4.237,0.0
0.355,0.856,0.178,0.141,0.336,0.065,0.72,4.224,0.0
0.384,0.841,0.281,0.146,0.368,0.072,0.866,4.178,0.0
0.376,0.836,0.246,0.13,0.37,0.072,0.817,4.169,0.0
0.422,0.833,0.334,0.133,0.378,0.076,0.92,4.186,0.0
0.414,0.83,0.243,0.13,0.378,0.065,0.816,4.187,0.0
0.446,0.822,0.222,0.125,0.377,0.066,0.789,4.194,0.0
0.474,0.812,0.155,0.122,0.387,0.064,0.729,4.202,0.0
0.446,0.832,0.224,0.116,0.367,0.065,0.772,4.165,0.0
0.459,0.812,0.277,0.115,0.389,0.067,0.847,4.23,0.0
0.513,0.828,0.181,0.108,0.364,0.057,0.71,4.042,0.0
0.511,0.839,0.272,0.103,0.33,0.06,0.765,3.997,0.0
0.492,0.848,0.205,0.098,0.312,0.06,0.675,3.979,0.0
0.484,0.878,0.247,0.091,0.257,0.056,0.652,4.004,0.0
0.504,0.878,0.258,0.088,0.261,0.054,0.661,3.951,0.0
0.468,0.907,0.192,0.084,0.221,0.058,0.555,3.989,0.0
0.459,0.917,0.232,0.085,0.193,0.054,0.563,4.001,0.0
0.431,0.92,0.13,0.085,0.198,0.047,0.459,3.98,0.0
0.464,0.928,0.178,0.08,0.167,0.055,0.479,3.975,0.0
0.49,0.932,0.09,0.078,0.166,0.045,0.378,3.98,0.0
0.5,0.94,0.13,0.069,0.155,0.057,0.41,4.024,0.0
0.491,0.939,0.094,0.064,0.155,0.051,0.364,4.017,0.0
0.5,0.942,0.121,0.067,0.147,0.051,0.387,4.036,0.0
0.579,0.95,0.104,0.061,0.128,0.049,0.343,4.016,0.0
0.5,0.938,0.123,0.071,0.156,0.05,0.4,4.005,0.0
0.545,0.943,0.153,0.06,0.148,0.051,0.413,4.033,0.0
0.53,0.956,0.187,0.063,0.132,0.048,0.43,4.077,0.0
0.555,0.962,0.119,0.061,0.109,0.049,0.339,4.066,0.0
0.585,0.952,0.101,0.059,0.136,0.048,0.344,4.113,0.0
0.57,0.961,0.109,0.064,0.115,0.049,0.337,4.112,0.0
0.589,0.962,0.11,0.053,0.1,0.044,0.306,4.12,0.0
