mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.656,0.968,0.121,0.044,0.093,0.037,0.295,4.071,0.0
0.656,0.963,0.112,0.048,0.118,0.042,0.32,4.109,0.0
0.568,0.952,0.147,0.057,0.133,0.043,0.379,4.14,0.0
0.627,0.969,0.117,0.044,0.091,0.039,0.291,4.146,0.0
0.612,0.962,0.109,0.047,0.119,0.032,0.307,4.14,0.0
0.618,0.966,0.104,0.041,0.095,0.031,0.271,4.157,0.0
0.633,0.972,0.164,0.039,0.088,0.029,0.32,4.183,0.0
0.645,0.978,0.1,0.032,0.071,0.03,0.234,4.125,0.0
0.591,0.964,0.139,0.041,0.118,0.032,0.33,4.131,0.0
0.576,0.975,0.151,0.043,0.077,0.032,0.303,4.146,0.0
0.584,0.978,0.101,0.033,0.065,0.029,0.228,4.171,0.0
0.6,0.963,0.093,0.034,0.099,0.031,0.256,4.13,0.0
0.621,0.966,0.17,0.034,0.094,0.027,0.325,4.047,0.0
0.677,0.98,0.054,0.023,0.058,0.023,0.158,4.036,0.0
0.585,0.972,0.126,0.037,0.082,0.027,0.272,4.059,0.0
0.6,0.982,0.09,0.031,0.072,0.026,0.219,4.106,0.0
0.573,0.967,0.112,0.037,0.098,0.028,0.275,4.113,0.0
0.663,0.978,0.122,0.027,0.072,0.024,0.245,4.076,0.0
0.649,0.976,0.201,0.035,0.079,0.025,0.342,4.035,0.0
0.628,0.98,0.115,0.027,0.049,0.024,0.215,4.092,0.0
0.616,0.968,0.131,0.03,0.087,0.03,0.278,4.133,0.0
0.576,0.977,0.076,0.024,0.071,0.022,0.193,4.134,0.0
0.59,0.976,0.117,0.025,0.062,0.026,0.23,4.182,0.0
0.598,0.97,0.143,0.026,0.082,0.021,0.272,4.162,0.0
0.647,0.987,0.076,0.021,0.041,0.022,0.16,4.136,0.0
0.636,0.988,0.101,0.016,0.054,0.02,0.192,4.139,0.0
0.596,0.984,0.1,0.026,0.074,0.022,0.222,4.133,0.0
0.577,0.984,0.094,0.019,0.052,0.021,0.186,4.18,0.0
0.587,0.984,0.103,0.019,0.053,0.019,0.194,4.148,0.0
0.652,0.978,0.148,0.031,0.079,0.02,0.278,4.08,0.0
0.605,0.984,0.124,0.024,0.062,0.021,0.23,4.088,0.0
0.64,0.984,0.109,0.019,0.052,0.017,0.197,4.081,0.0
0.604,0.983,0.103,0.024,0.048,0.018,0.193,4.114,0.0
0.621,0.986,0.125,0.026,0.05,0.018,0.219,4.05,0.0
0.583,0.99,0.114,0.014,0.033,0.016,0.178,4.104,0.0
0.59,0.986,0.17,0.017,0.047,0.018,0.252,4.058,0.0
0.587,0.991,0.055,0.015,0.033,0.019,0.123,4.044,0.0
0.582,0.979,0.102,0.023,0.057,0.018,0.2,4.099,0.0
0.607,0.994,0.062,0.012,0.028,0.014,0.117,4.111,0.0
0.588,0.979,0.07,0.022,0.071,0.017,0.18,4.089,0.0
0.636,0.994,0.093,0.009,0.019,0.011,0.133,4.056,0.0
0.629,0.994,0.075,0.012,0.023,0.014,0.124,4.016,0.0
0.623,0.988,0.075,0.021,0.03,0.017,0.143,4.058,0.0
0.596,0.981,0.065,0.02,0.057,0.016,0.158,4.056,0.0
0.602,0.993,0.076,0.017,0.024,0.016,0.132,4.062,0.0
0.61,0.989,0.086,0.011,0.029,0.013,0.14,4.081,0.0
0.575,0.988,0.082,0.024,0.038,0.014,0.157,4.05,0.0
0.612,0.992,0.114,0.011,0.019,0.013,0.157,4.027,0.0
0.634,0.995,0.074,0.01,0.013,0.012,0.109,3.995,0.0
0.555,0.984,0.072,0.022,0.054,0.016,0.164,4.005,0.0
0.583,0.994,0.113,0.01,0.024,0.011,0.159,4.003,0.0
0.619,0.986,0.097,0.012,0.05,0.014,0.173,3.992,0.0
0.613,0.992,0.059,0.011,0.023,0.012,0.104,3.999,0.0
0.602,0.99,0.077,0.016,0.038,0.015,0.146,4.019,0.0
0.595,0.997,0.072,0.008,0.009,0.014,0.104,4.076,0.0
0.617,0.987,0.092,0.018,0.048,0.017,0.175,4.039,0.0
0.619,0.99,0.12,0.015,0.046,0.015,0.196,4.049,0.0
0.635,0.992,0.138,0.016,0.027,0.015,0.196,4.042,0.0
0.655,0.992,0.065,0.012,0.035,0.014,0.127,4.037,0.0
0.632,0.996,0.067,0.008,0.013,0.009,0.097,4.045,0.0
0.611,0.986,0.094,0.017,0.042,0.014,0.167,4.072,0.0
0.587,0.988,0.077,0.018,0.044,0.014,0.152,4.068,0.0
0.584,0.996,0.085,0.011,0.013,0.01,0.12,4.056,0.0
0.514,0.985,0.086,0.019,0.05,0.014,0.169,4.113,0.0
0.558,0.992,0.08,0.01,0.027,0.013,0.13,4.064,0.0
0.539,0.99,0.095,0.013,0.039,0.013,0.16,4.049,0.0
0.554,0.996,0.067,0.006,0.022,0.011,0.107,4.05,0.0
0.583,0.986,0.069,0.017,0.05,0.015,0.151,4.007,0.0
0.533,0.991,0.127,0.015,0.03,0.016,0.188,4.041,0.0
0.548,0.992,0.123,0.013,0.028,0.011,0.175,4.032,0.0
0.528,0.992,0.108,0.016,0.021,0.012,0.157,4.057,0.0
0.564,0.994,0.071,0.009,0.025,0.013,0.118,4.036,0.0
0.615,0.999,0.079,0.008,0.009,0.01,0.106,3.995,0.0
0.564,0.996,0.129,0.01,0.021,0.013,0.174,4.074,0.0
0.611,0.993,0.081,0.013,0.025,0.011,0.13,3.965,0.0
0.592,0.994,0.091,0.013,0.03,0.009,0.144,4.033,0.0
0.576,0.994,0.07,0.013,0.017,0.01,0.11,4.043,0.0
0.569,0.996,0.09,0.013,0.016,0.01,0.13,4.031,0.0
0.579,0.994,0.052,0.01,0.019,0.01,0.092,4.041,0.0
0.557,0.991,0.091,0.012,0.046,0.012,0.161,4.104,0.0
0.546,0.993,0.096,0.01,0.02,0.009,0.135,4.102,0.0
0.614,0.993,0.076,0.01,0.033,0.012,0.131,4.01,0.0
0.58,0.994,0.07,0.011,0.029,0.011,0.121,4.061,0.0
0.573,0.998,0.061,0.006,0.007,0.009,0.083,4.081,0.0
0.551,0.996,0.119,0.011,0.016,0.008,0.155,4.059,0.0
0.592,0.992,0.067,0.008,0.023,0.01,0.108,3.978,0.0
0.596,0.996,0.047,0.011,0.008,0.007,0.073,4.052,0.0
0.574,0.989,0.078,0.034,0.041,0.011,0.164,4.022,0.0
0.642,0.992,0.096,0.019,0.031,0.01,0.156,3.998,0.0
0.584,0.994,0.106,0.011,0.014,0.01,0.142,4.004,0.0
0.547,0.994,0.069,0.011,0.019,0.009,0.109,4.074,0.0
0.57,0.988,0.097,0.012,0.038,0.012,0.159,4.085,0.0
0.583,0.994,0.081,0.01,0.023,0.009,0.123,4.023,0.0
0.502,0.996,0.068,0.008,0.013,0.008,0.097,4.209,0.0
0.504,0.996,0.102,0.008,0.016,0.008,0.135,4.156,0.0
0.511,0.995,0.114,0.012,0.019,0.009,0.155,4.086,0.0
0.54,0.998,0.074,0.005,0.01,0.009,0.099,3.995,0.0
0.565,0.994,0.104,0.014,0.027,0.009,0.153,3.996,0.0
0.542,0.998,0.1,0.006,0.011,0.008,0.125,4.079,0.0
0.546,0.996,0.106,0.01,0.02,0.01,0.146,4.004,0.0
0.528,0.993,0.083,0.009,0.018,0.008,0.118,4.102,0.0
0.536,0.994,0.113,0.008,0.017,0.008,0.146,4.065,0.0
0.586,0.998,0.081,0.006,0.006,0.007,0.1,4.015,0.0
0.515,0.996,0.056,0.01,0.012,0.009,0.087,4.104,0.0
0.498,0.994,0.061,0.007,0.018,0.008,0.095,4.116,0.0
0.499,0.996,0.062,0.009,0.016,0.009,0.096,4.071,0.0
0.54,0.992,0.084,0.009,0.034,0.009,0.136,3.934,0.0
0.521,0.996,0.096,0.011,0.014,0.008,0.129,3.99,0.0
0.515,0.992,0.098,0.012,0.022,0.008,0.14,4.006,0.0
0.506,0.996,0.112,0.012,0.016,0.008,0.148,3.987,0.0
0.486,0.994,0.081,0.016,0.028,0.01,0.135,4.016,0.0
0.519,0.987,0.106,0.009,0.041,0.011,0.167,3.957,0.0
0.499,0.997,0.115,0.009,0.009,0.008,0.141,3.945,0.0
0.476,0.996,0.093,0.007,0.009,0.008,0.117,4.017,0.0
0.475,0.998,0.085,0.006,0.009,0.007,0.107,4.067,0.0
0.498,0.993,0.074,0.01,0.025,0.011,0.12,4.064,0.0
0.504,0.996,0.083,0.01,0.018,0.008,0.119,4.053,0.0
0.429,0.996,0.089,0.008,0.017,0.008,0.122,4.203,0.0
0.453,0.992,0.092,0.012,0.031,0.01,0.145,4.142,0.0
0.475,0.998,0.074,0.005,0.005,0.007,0.09,4.087,0.0
0.496,0.994,0.063,0.008,0.027,0.007,0.105,4.041,0.0
0.473,0.996,0.095,0.008,0.015,0.006,0.124,4.041,0.0
0.48,0.998,0.113,0.009,0.005,0.009,0.136,3.987,0.0
0.531,0.996,0.076,0.007,0.009,0.007,0.1,3.988,0.0
0.475,0.994,0.083,0.011,0.022,0.007,0.123,4.053,0.0
0.477,0.992,0.079,0.014,0.026,0.009,0.127,4.071,0.0
0.514,0.994,0.078,0.008,0.029,0.009,0.125,4.031,0.0
0.511,0.996,0.073,0.009,0.022,0.009,0.114,4.006,0.0
0.54,0.99,0.093,0.009,0.034,0.01,0.147,3.921,0.0
0.57,0.99,0.128,0.006,0.042,0.012,0.188,3.861,0.0
0.56,0.988,0.087,0.011,0.046,0.012,0.156,3.917,0.0
0.565,0.99,0.079,0.007,0.028,0.011,0.125,3.901,0.0
0.542,0.992,0.104,0.01,0.028,0.01,0.152,3.934,0.0
0.527,0.996,0.073,0.009,0.011,0.01,0.102,3.918,0.0
0.506,0.99,0.148,0.011,0.032,0.01,0.201,3.992,0.0
0.48,0.996,0.064,0.01,0.016,0.008,0.098,4.004,0.0
0.519,0.995,0.095,0.007,0.016,0.007,0.125,3.936,0.0
0.487,0.998,0.061,0.004,0.006,0.008,0.079,4.077,0.0
0.481,0.994,0.075,0.011,0.018,0.009,0.113,4.002,0.0
0.532,0.991,0.08,0.014,0.029,0.009,0.132,4.217,0.0
0.518,0.991,0.071,0.011,0.034,0.01,0.126,4.37,0.0
0.509,0.991,0.08,0.009,0.041,0.012,0.142,4.123,0.0
0.527,0.994,0.047,0.004,0.019,0.007,0.078,4.334,0.0
0.549,0.994,0.095,0.007,0.023,0.008,0.133,4.16,0.0
0.546,0.996,0.073,0.007,0.019,0.008,0.107,3.921,0.0
0.507,0.994,0.062,0.015,0.015,0.005,0.098,4.005,0.0
0.503,0.994,0.087,0.011,0.021,0.009,0.129,4.058,0.0
0.509,0.993,0.11,0.01,0.029,0.007,0.157,4.101,0.0
0.502,0.996,0.067,0.006,0.018,0.007,0.099,4.151,0.0
0.473,0.998,0.08,0.006,0.008,0.005,0.098,4.223,0.0
0.444,0.996,0.116,0.008,0.006,0.007,0.138,4.171,0.0
0.529,0.988,0.101,0.012,0.044,0.011,0.169,4.031,0.0
0.531,0.995,0.068,0.006,0.023,0.009,0.105,3.986,0.0
0.512,0.994,0.088,0.008,0.015,0.009,0.12,3.995,0.0
0.49,0.993,0.12,0.011,0.023,0.011,0.164,4.041,0.0
0.502,0.996,0.087,0.008,0.014,0.007,0.117,3.984,0.0
0.521,0.996,0.082,0.006,0.019,0.008,0.116,3.945,0.0
0.527,0.995,0.079,0.007,0.025,0.01,0.121,3.942,0.0
0.535,0.996,0.077,0.007,0.014,0.007,0.105,3.967,0.0
0.483,0.996,0.096,0.009,0.021,0.01,0.135,3.989,0.0
0.461,0.998,0.074,0.007,0.007,0.006,0.094,4.037,0.0
0.517,0.997,0.061,0.005,0.02,0.005,0.092,3.967,0.0
0.525,0.995,0.069,0.007,0.012,0.006,0.094,3.929,0.0
0.509,0.999,0.075,0.007,0.006,0.006,0.095,4.018,0.0
0.507,0.998,0.093,0.006,0.006,0.005,0.111,3.984,0.0
0.522,0.995,0.054,0.006,0.017,0.007,0.084,3.993,0.0
0.526,0.996,0.089,0.009,0.012,0.007,0.117,4.005,0.0
0.507,1.0,0.053,0.004,0.001,0.005,0.064,4.03,0.0
0.489,0.994,0.079,0.009,0.029,0.008,0.125,4.112,0.0
0.468,0.994,0.125,0.012,0.022,0.008,0.167,4.122,0.0
0.517,0.996,0.066,0.005,0.017,0.007,0.095,3.99,0.0
0.489,0.995,0.07,0.008,0.021,0.009,0.107,3.963,0.0
0.498,0.997,0.075,0.005,0.009,0.009,0.098,3.984,0.0
0.506,0.996,0.041,0.007,0.021,0.008,0.077,3.964,0.0
0.476,1.0,0.063,0.003,0.002,0.005,0.072,4.0,0.0
0.493,0.995,0.062,0.007,0.016,0.007,0.092,4.069,0.0
0.478,0.997,0.075,0.009,0.026,0.008,0.116,4.088,0.0
0.48,0.988,0.105,0.016,0.051,0.02,0.192,4.125,0.0
0.518,0.998,0.037,0.005,0.015,0.007,0.064,3.997,0.0
0.448,0.998,0.1,0.007,0.013,0.007,0.128,4.084,0.0
0.485,0.996,0.053,0.004,0.024,0.006,0.087,4.065,0.0
0.496,0.996,0.087,0.008,0.016,0.007,0.117,4.005,0.0
0.521,0.997,0.085,0.008,0.011,0.007,0.111,4.007,0.0
0.523,0.994,0.108,0.013,0.027,0.009,0.156,3.942,0.0
0.523,0.999,0.097,0.007,0.011,0.006,0.12,3.95,0.0
0.538,0.996,0.062,0.006,0.022,0.008,0.099,4.021,0.0
0.454,0.996,0.071,0.008,0.014,0.006,0.1,4.054,0.0
0.479,0.999,0.07,0.008,0.006,0.006,0.09,4.071,0.0
0.482,1.0,0.028,0.004,0.001,0.006,0.039,4.158,0.0
0.465,0.998,0.062,0.005,0.005,0.006,0.077,4.183,0.0
0.475,0.999,0.053,0.006,0.005,0.008,0.072,4.034,0.0
0.466,0.997,0.055,0.007,0.011,0.007,0.08,4.098,0.0
0.449,0.998,0.059,0.004,0.003,0.004,0.07,4.095,0.0
0.443,1.0,0.071,0.004,0.002,0.005,0.082,4.137,0.0
0.452,0.999,0.079,0.008,0.004,0.006,0.097,4.062,0.0
0.432,0.994,0.057,0.014,0.021,0.009,0.102,4.028,0.0
0.443,0.997,0.051,0.008,0.012,0.005,0.076,4.056,0.0
0.508,0.992,0.063,0.006,0.026,0.007,0.102,3.961,0.0
0.477,0.997,0.049,0.006,0.012,0.006,0.073,4.016,0.0
0.526,0.998,0.04,0.004,0.008,0.009,0.061,3.928,0.0
0.47,0.996,0.046,0.008,0.009,0.007,0.069,4.016,0.0
0.476,0.994,0.086,0.01,0.019,0.008,0.123,3.962,0.0
0.467,0.996,0.03,0.006,0.01,0.006,0.052,3.943,0.0
0.496,0.995,0.049,0.006,0.015,0.008,0.078,4.022,0.0
0.423,1.0,0.07,0.006,0.002,0.006,0.084,4.077,0.0
0.451,0.998,0.025,0.006,0.013,0.007,0.051,4.024,0.0
0.445,0.998,0.041,0.007,0.009,0.005,0.062,4.053,0.0
0.442,0.997,0.086,0.008,0.022,0.007,0.123,4.015,0.0
0.471,0.999,0.044,0.004,0.01,0.005,0.064,3.963,0.0
0.469,0.999,0.034,0.004,0.003,0.004,0.045,3.974,0.0
0.47,0.997,0.063,0.009,0.015,0.006,0.094,3.969,0.0
0.455,0.996,0.058,0.013,0.017,0.007,0.096,4.038,0.0
0.378,0.998,0.056,0.005,0.005,0.005,0.07,4.113,0.0
0.442,0.998,0.054,0.005,0.019,0.005,0.083,4.105,0.0
0.426,0.994,0.064,0.009,0.014,0.005,0.092,4.024,0.0
0.439,0.996,0.058,0.006,0.017,0.006,0.086,4.039,0.0
