mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.247,0.867,1.442,0.359,0.608,0.056,2.464,4.548,0.0
0.226,0.872,1.465,0.24,0.403,0.03,2.138,4.258,0.0
0.24,0.857,1.448,0.194,0.435,0.028,2.106,4.234,0.0
0.21,0.868,1.435,0.178,0.406,0.03,2.05,4.251,0.0
0.117,0.916,1.302,0.143,0.295,0.027,1.767,4.478,0.0
0.107,0.919,1.583,0.132,0.256,0.026,1.997,4.535,0.0
0.11,0.918,1.421,0.125,0.276,0.027,1.849,4.497,0.0
0.121,0.912,1.468,0.12,0.286,0.03,1.905,4.422,0.0
0.14,0.902,1.515,0.13,0.313,0.029,1.986,4.338,0.0
0.112,0.914,1.334,0.12,0.28,0.025,1.759,4.556,0.0
0.151,0.891,1.548,0.097,0.311,0.036,1.992,4.441,0.0
0.146,0.902,1.414,0.078,0.265,0.03,1.787,4.352,0.0
0.113,0.915,1.555,0.073,0.24,0.025,1.893,4.533,0.0
0.115,0.916,1.528,0.067,0.21,0.024,1.828,4.439,0.0
0.109,0.922,1.588,0.061,0.192,0.02,1.861,4.386,0.0
0.128,0.916,1.595,0.056,0.18,0.024,1.855,4.369,0.0
0.147,0.934,1.434,0.052,0.208,0.03,1.725,4.321,0.0
0.173,0.944,1.635,0.044,0.169,0.035,1.883,4.293,0.0
0.19,0.943,1.434,0.033,0.158,0.034,1.659,4.217,0.0
0.203,0.957,1.494,0.027,0.132,0.039,1.693,4.192,0.0
0.211,0.964,1.521,0.025,0.117,0.046,1.709,4.124,0.0
0.215,0.962,1.454,0.025,0.124,0.039,1.642,4.127,0.0
0.221,0.968,1.461,0.022,0.098,0.035,1.616,4.067,0.0
0.225,0.968,1.421,0.02,0.087,0.037,1.564,4.104,0.0
0.221,0.976,1.434,0.019,0.074,0.035,1.562,4.108,0.0
0.233,0.969,1.421,0.019,0.092,0.034,1.566,4.068,0.0
0.234,0.978,1.273,0.017,0.065,0.032,1.388,4.036,0.0
0.245,0.981,1.501,0.017,0.065,0.033,1.616,4.049,0.0
0.262,0.976,1.494,0.014,0.084,0.036,1.628,4.062,0.0
0.262,0.973,1.407,0.014,0.087,0.036,1.545,4.047,0.0
0.283,0.977,1.447,0.014,0.072,0.036,1.57,4.014,0.0
0.266,0.974,1.615,0.014,0.094,0.035,1.757,4.037,0.0
0.286,0.98,1.454,0.011,0.056,0.035,1.556,4.048,0.0
0.3,0.984,1.508,0.011,0.068,0.031,1.617,4.034,0.0
0.304,0.979,1.494,0.011,0.067,0.035,1.608,4.004,0.0
0.296,0.978,1.454,0.011,0.087,0.034,1.586,4.028,0.0
0.297,0.979,1.427,0.009,0.075,0.033,1.545,4.02,0.0
0.3,0.975,1.468,0.009,0.071,0.037,1.584,4.028,0.0
0.325,0.98,1.481,0.009,0.065,0.026,1.58,4.01,0.0
0.316,0.988,1.367,0.008,0.061,0.029,1.465,4.033,0.0
0.347,0.974,1.514,0.009,0.087,0.033,1.644,3.989,0.0
0.322,0.982,1.367,0.01,0.072,0.03,1.479,4.012,0.0
0.352,0.983,1.575,0.008,0.062,0.027,1.671,3.964,0.0
0.341,0.986,1.447,0.007,0.055,0.024,1.533,4.02,0.0
0.342,0.984,1.501,0.007,0.052,0.026,1.587,3.994,0.0
0.344,0.992,1.461,0.006,0.036,0.023,1.525,3.99,0.0
0.356,0.986,1.588,0.008,0.059,0.024,1.679,3.991,0.0
0.365,0.98,1.414,0.007,0.061,0.03,1.512,4.016,0.0
0.371,0.986,1.4,0.005,0.057,0.022,1.484,4.002,0.0
0.371,0.98,1.461,0.007,0.074,0.024,1.566,3.984,0.0
0.373,0.994,1.407,0.004,0.025,0.018,1.454,4.002,0.0
0.38,0.986,1.575,0.007,0.047,0.021,1.65,4.014,0.0
0.372,0.986,1.602,0.006,0.047,0.021,1.676,4.015,0.0
0.396,0.987,1.501,0.005,0.038,0.019,1.563,3.976,0.0
0.386,0.988,1.427,0.006,0.045,0.022,1.5,4.015,0.0
0.404,0.99,1.528,0.005,0.034,0.023,1.591,3.997,0.0
0.372,0.991,1.414,0.005,0.032,0.018,1.469,4.002,0.0
0.41,0.989,1.541,0.006,0.043,0.021,1.611,3.956,0.0
0.42,0.986,1.541,0.005,0.047,0.02,1.614,4.007,0.0
0.403,0.986,1.34,0.005,0.04,0.02,1.405,3.984,0.0
0.406,0.983,1.467,0.006,0.06,0.019,1.553,3.982,0.0
0.417,0.991,1.595,0.005,0.038,0.016,1.654,3.974,0.0
0.388,0.989,1.32,0.004,0.027,0.02,1.372,4.006,0.0
0.421,0.99,1.568,0.005,0.032,0.019,1.624,3.997,0.0
0.431,0.994,1.354,0.005,0.028,0.016,1.403,3.958,0.0
0.419,0.993,1.414,0.005,0.033,0.017,1.469,3.995,0.0
0.404,0.986,1.447,0.005,0.047,0.013,1.513,3.99,0.0
0.402,0.994,1.327,0.004,0.02,0.017,1.367,3.995,0.0
0.402,0.992,1.454,0.004,0.029,0.015,1.503,3.979,0.0
0.399,0.996,1.561,0.004,0.014,0.014,1.593,4.008,0.0
0.418,0.99,1.414,0.005,0.031,0.014,1.463,3.99,0.0
0.382,0.994,1.488,0.004,0.019,0.015,1.525,3.994,0.0
0.411,0.992,1.689,0.004,0.029,0.015,1.737,3.951,0.0
0.419,0.993,1.307,0.004,0.025,0.012,1.347,4.001,0.0
0.415,0.998,1.367,0.003,0.007,0.011,1.389,3.992,0.0
0.426,0.99,1.34,0.004,0.034,0.013,1.392,3.974,0.0
0.403,0.992,1.34,0.004,0.038,0.013,1.396,3.972,0.0
0.41,0.99,1.575,0.004,0.035,0.014,1.628,4.004,0.0
0.453,0.994,1.367,0.003,0.016,0.014,1.399,3.986,0.0
0.441,0.994,1.494,0.004,0.024,0.013,1.534,3.955,0.0
0.423,0.996,1.434,0.003,0.011,0.01,1.459,3.99,0.0
0.416,0.99,1.454,0.005,0.041,0.017,1.516,3.989,0.0
0.389,0.996,1.501,0.004,0.021,0.012,1.538,4.0,0.0
0.417,0.994,1.421,0.003,0.016,0.012,1.452,3.965,0.0
0.414,0.994,1.528,0.004,0.027,0.013,1.571,3.997,0.0
0.41,0.998,1.4,0.003,0.012,0.011,1.426,3.986,0.0
0.403,0.994,1.36,0.004,0.027,0.012,1.403,3.988,0.0
0.412,0.998,1.34,0.003,0.009,0.011,1.363,3.946,0.0
0.406,0.994,1.474,0.003,0.021,0.01,1.508,4.006,0.0
0.416,0.996,1.287,0.003,0.008,0.012,1.309,3.977,0.0
0.39,0.992,1.414,0.003,0.037,0.009,1.463,3.993,0.0
0.433,0.996,1.461,0.003,0.012,0.013,1.489,3.971,0.0
0.396,0.998,1.575,0.003,0.012,0.011,1.6,4.004,0.0
0.416,0.995,1.581,0.003,0.024,0.011,1.62,3.988,0.0
0.424,0.995,1.481,0.003,0.021,0.008,1.513,3.964,0.0
0.422,0.998,1.427,0.003,0.012,0.011,1.454,3.989,0.0
0.431,0.992,1.602,0.003,0.022,0.014,1.64,3.992,0.0
