mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.42,0.992,1.434,0.004,0.026,0.011,1.474,4.002,0.0
0.425,1.0,1.541,0.002,0.002,0.009,1.554,3.968,0.0
0.429,0.998,1.4,0.003,0.005,0.008,1.416,4.001,0.0
0.4,0.994,1.34,0.003,0.023,0.012,1.379,4.008,0.0
0.418,0.995,1.575,0.003,0.024,0.009,1.611,3.993,0.0
0.433,0.997,1.414,0.002,0.012,0.01,1.439,3.953,0.0
0.409,0.995,1.488,0.003,0.012,0.01,1.512,4.003,0.0
0.429,0.997,1.474,0.003,0.025,0.015,1.517,3.981,0.0
0.404,0.998,1.514,0.002,0.005,0.008,1.53,3.976,0.0
0.43,0.998,1.327,0.002,0.018,0.01,1.357,3.971,0.0
0.404,0.997,1.481,0.003,0.011,0.012,1.506,4.004,0.0
0.402,0.996,1.447,0.003,0.015,0.01,1.475,3.987,0.0
0.438,0.996,1.662,0.002,0.008,0.01,1.683,3.965,0.0
0.406,1.0,1.468,0.002,0.001,0.008,1.479,3.988,0.0
0.391,0.996,1.474,0.003,0.021,0.011,1.509,3.999,0.0
0.404,0.996,1.327,0.003,0.014,0.008,1.352,3.992,0.0
0.414,0.996,1.655,0.002,0.014,0.009,1.679,3.972,0.0
0.411,0.997,1.374,0.003,0.011,0.01,1.397,3.997,0.0
0.379,0.996,1.521,0.003,0.023,0.009,1.555,3.99,0.0
0.412,0.998,1.441,0.002,0.006,0.008,1.457,3.994,0.0
0.42,0.999,1.575,0.002,0.003,0.008,1.589,3.947,0.0
0.38,0.994,1.575,0.003,0.017,0.008,1.602,4.009,0.0
0.42,0.999,1.441,0.002,0.003,0.009,1.454,3.977,0.0
0.396,1.0,1.467,0.002,0.002,0.007,1.478,3.985,0.0
0.424,0.996,1.488,0.003,0.018,0.01,1.519,3.973,0.0
0.409,0.998,1.347,0.003,0.01,0.007,1.367,4.002,0.0
0.408,0.998,1.467,0.002,0.008,0.007,1.484,3.99,0.0
0.422,1.0,1.374,0.002,0.001,0.006,1.382,3.962,0.0
0.43,0.999,1.595,0.002,0.014,0.008,1.619,3.985,0.0
0.433,0.996,1.588,0.003,0.017,0.01,1.618,3.997,0.0
0.423,0.998,1.421,0.002,0.011,0.009,1.442,3.993,0.0
0.447,0.998,1.508,0.002,0.004,0.009,1.522,3.963,0.0
0.422,0.995,1.454,0.002,0.035,0.012,1.504,3.999,0.0
0.429,0.998,1.421,0.002,0.007,0.006,1.437,3.988,0.0
0.399,0.999,1.494,0.002,0.007,0.006,1.509,3.986,0.0
0.433,1.0,1.421,0.002,0.001,0.005,1.429,3.994,0.0
0.413,0.998,1.561,0.002,0.007,0.007,1.577,4.016,0.0
0.443,0.996,1.407,0.003,0.016,0.01,1.435,3.987,0.0
0.4,0.997,1.454,0.002,0.019,0.008,1.483,3.985,0.0
0.413,0.999,1.407,0.002,0.001,0.006,1.417,3.992,0.0
0.41,0.994,1.474,0.003,0.032,0.008,1.517,4.016,0.0
0.418,0.997,1.447,0.002,0.007,0.006,1.462,4.01,0.0
0.433,0.997,1.541,0.002,0.007,0.007,1.557,3.992,0.0
0.422,0.999,1.501,0.002,0.01,0.008,1.521,4.01,0.0
0.438,0.999,1.38,0.002,0.005,0.007,1.394,4.02,0.0
0.406,0.997,1.488,0.002,0.009,0.008,1.507,4.014,0.0
0.431,1.0,1.514,0.002,0.001,0.005,1.523,3.986,0.0
0.408,0.998,1.494,0.002,0.012,0.005,1.514,4.001,0.0
0.396,0.998,1.508,0.002,0.013,0.009,1.531,3.993,0.0
0.415,0.999,1.454,0.002,0.004,0.005,1.464,3.993,0.0
0.431,1.0,1.447,0.002,0.002,0.006,1.457,3.946,0.0
0.417,1.0,1.4,0.002,0.001,0.005,1.409,4.002,0.0
0.406,0.998,1.394,0.002,0.007,0.008,1.41,3.98,0.0
0.426,0.998,1.481,0.002,0.007,0.006,1.496,4.028,0.0
0.434,0.998,1.421,0.002,0.006,0.007,1.436,4.015,0.0
0.428,0.998,1.595,0.002,0.012,0.006,1.615,4.043,0.0
0.395,0.998,1.682,0.002,0.012,0.006,1.702,4.033,0.0
0.433,0.999,1.615,0.002,0.007,0.008,1.632,4.0,0.0
0.424,1.0,1.461,0.001,0.004,0.006,1.472,4.024,0.0
0.396,1.0,1.454,0.002,0.001,0.008,1.465,4.069,0.0
0.424,0.994,1.367,0.002,0.034,0.008,1.412,4.092,0.0
0.403,0.998,1.488,0.002,0.018,0.006,1.514,4.063,0.0
0.405,0.998,1.394,0.002,0.007,0.005,1.407,4.074,0.0
0.388,0.998,1.454,0.002,0.012,0.007,1.475,4.067,0.0
0.411,0.999,1.501,0.001,0.002,0.006,1.51,4.021,0.0
0.424,0.999,1.374,0.002,0.002,0.005,1.383,3.934,0.0
0.412,0.999,1.474,0.002,0.009,0.007,1.491,3.981,0.0
0.42,1.0,1.333,0.002,0.001,0.005,1.341,3.961,0.0
0.416,0.999,1.521,0.002,0.002,0.005,1.53,3.959,0.0
0.409,0.994,1.468,0.002,0.032,0.007,1.509,3.981,0.0
0.388,0.998,1.488,0.002,0.006,0.007,1.502,4.07,0.0
0.427,0.999,1.467,0.002,0.004,0.007,1.48,4.045,0.0
0.429,0.997,1.488,0.002,0.009,0.007,1.506,4.012,0.0
0.44,0.998,1.548,0.002,0.011,0.008,1.569,4.005,0.0
0.427,0.998,1.608,0.001,0.01,0.005,1.625,4.006,0.0
0.422,1.0,1.427,0.002,0.001,0.005,1.434,4.017,0.0
0.403,0.999,1.427,0.002,0.007,0.005,1.442,3.989,0.0
0.434,0.998,1.602,0.002,0.012,0.006,1.621,4.017,0.0
0.408,0.998,1.307,0.002,0.005,0.007,1.32,4.009,0.0
0.412,0.999,1.508,0.002,0.004,0.004,1.517,3.982,0.0
0.407,1.0,1.273,0.001,0.001,0.004,1.28,3.957,0.0
0.414,0.999,1.541,0.001,0.002,0.005,1.549,4.016,0.0
0.402,1.0,1.481,0.001,0.002,0.005,1.489,3.976,0.0
0.392,1.0,1.387,0.001,0.002,0.005,1.395,3.969,0.0
0.402,1.0,1.441,0.001,0.0,0.004,1.446,3.969,0.0
0.389,1.0,1.602,0.001,0.001,0.004,1.608,4.004,0.0
0.412,0.998,1.347,0.002,0.01,0.006,1.365,3.991,0.0
0.4,1.0,1.581,0.001,0.0,0.004,1.587,3.954,0.0
0.416,1.0,1.34,0.001,0.004,0.006,1.352,3.995,0.0
0.415,0.998,1.387,0.002,0.016,0.01,1.415,4.009,0.0
0.399,0.999,1.541,0.001,0.003,0.004,1.549,4.049,0.0
0.42,0.998,1.501,0.001,0.013,0.005,1.521,4.015,0.0
0.419,1.0,1.461,0.001,0.001,0.005,1.467,4.001,0.0
0.406,1.0,1.367,0.001,0.002,0.004,1.374,3.968,0.0
0.396,0.999,1.441,0.001,0.003,0.004,1.449,3.979,0.0
0.417,1.0,1.427,0.001,0.002,0.004,1.434,3.938,0.0
0.419,1.0,1.535,0.001,0.007,0.005,1.548,3.985,0.0
0.381,1.0,1.4,0.001,0.007,0.004,1.413,3.96,0.0
0.411,1.0,1.561,0.001,0.002,0.004,1.569,3.943,0.0
0.392,0.998,1.501,0.002,0.003,0.004,1.51,3.952,0.0
0.411,1.0,1.454,0.001,0.008,0.006,1.469,3.993,0.0
0.394,1.0,1.474,0.001,0.002,0.003,1.481,3.98,0.0
0.398,0.998,1.488,0.002,0.017,0.004,1.51,3.935,0.0
0.401,0.996,1.568,0.002,0.02,0.006,1.596,3.979,0.0
0.383,1.0,1.514,0.001,0.0,0.003,1.519,3.967,0.0
0.401,1.0,1.414,0.001,0.0,0.004,1.419,3.979,0.0
0.411,0.999,1.535,0.001,0.006,0.004,1.546,3.995,0.0
0.419,0.998,1.535,0.001,0.01,0.006,1.551,4.044,0.0
0.394,1.0,1.467,0.001,0.0,0.004,1.473,4.001,0.0
0.424,0.998,1.3,0.001,0.004,0.005,1.31,3.97,0.0
0.398,1.0,1.414,0.001,0.0,0.004,1.42,3.956,0.0
0.4,0.999,1.535,0.001,0.01,0.004,1.549,3.991,0.0
0.403,0.998,1.441,0.001,0.004,0.004,1.45,3.974,0.0
0.39,0.999,1.4,0.001,0.003,0.003,1.408,3.96,0.0
0.409,0.999,1.401,0.001,0.012,0.004,1.418,3.971,0.0
0.404,1.0,1.421,0.001,0.003,0.004,1.429,3.987,0.0
0.379,0.998,1.414,0.001,0.008,0.005,1.428,3.983,0.0
0.41,1.0,1.394,0.001,0.003,0.004,1.402,3.956,0.0
0.399,0.998,1.447,0.001,0.006,0.003,1.457,4.04,0.0
0.401,0.998,1.689,0.002,0.023,0.005,1.718,4.017,0.0
0.387,1.0,1.521,0.001,0.0,0.004,1.526,4.015,0.0
0.413,1.0,1.675,0.002,0.0,0.004,1.682,3.968,0.0
0.408,0.998,1.441,0.001,0.006,0.004,1.452,4.027,0.0
0.403,0.994,1.414,0.002,0.021,0.006,1.443,4.003,0.0
0.396,0.998,1.36,0.001,0.022,0.005,1.388,3.978,0.0
0.406,1.0,1.427,0.001,0.0,0.003,1.432,3.967,0.0
0.379,0.998,1.561,0.002,0.006,0.004,1.573,3.996,0.0
0.389,0.996,1.555,0.001,0.013,0.005,1.574,3.988,0.0
0.397,0.998,1.367,0.001,0.005,0.004,1.378,3.963,0.0
0.398,0.998,1.528,0.001,0.003,0.005,1.536,3.981,0.0
0.389,1.0,1.488,0.001,0.001,0.004,1.493,3.988,0.0
0.412,1.0,1.461,0.001,0.0,0.004,1.466,3.991,0.0
0.411,0.998,1.454,0.001,0.014,0.004,1.473,3.957,0.0
0.412,1.0,1.434,0.001,0.0,0.004,1.439,3.988,0.0
0.406,0.997,1.467,0.001,0.022,0.005,1.495,3.993,0.0
0.375,1.0,1.327,0.001,0.009,0.004,1.341,4.037,0.0
0.4,1.0,1.575,0.001,0.001,0.005,1.581,3.998,0.0
0.383,1.0,1.535,0.001,0.008,0.005,1.549,4.04,0.0
0.376,0.998,1.622,0.001,0.016,0.004,1.643,3.997,0.0
0.399,0.998,1.622,0.002,0.013,0.005,1.641,3.965,0.0
0.384,1.0,1.555,0.001,0.001,0.004,1.561,3.965,0.0
0.382,0.998,1.555,0.001,0.022,0.004,1.582,3.987,0.0
0.371,0.999,1.273,0.001,0.006,0.003,1.283,3.973,0.0
0.407,1.0,1.354,0.001,0.001,0.004,1.36,3.952,0.0
0.399,0.999,1.441,0.001,0.004,0.004,1.45,3.971,0.0
0.407,0.998,1.414,0.001,0.008,0.006,1.429,3.974,0.0
0.381,0.998,1.38,0.002,0.014,0.004,1.4,3.989,0.0
0.386,0.999,1.468,0.001,0.007,0.004,1.48,3.953,0.0
0.371,1.0,1.488,0.001,0.002,0.003,1.494,3.985,0.0
0.364,0.998,1.38,0.002,0.019,0.005,1.405,3.972,0.0
0.388,1.0,1.427,0.001,0.002,0.004,1.434,3.987,0.0
0.407,1.0,1.548,0.001,0.009,0.004,1.562,3.943,0.0
0.388,0.998,1.588,0.001,0.011,0.005,1.605,3.999,0.0
